event_id,kind,domain,recording_id,start_ns,end_ns,peak_ns,duration_s,route_progress_m,osm_way_id,road_class,detail_approach_distance_m,detail_closest_distance_m,detail_mean_curvature_1_per_m,detail_max_curvature_1_per_m,detail_length_m,detail_previous_class,detail_new_class,detail_duration_s
motorcycle_junction_approach_004,junction_approach,motorcycle,motorcycle_5ab8604a14df,2294248140205,2295248139528,2294248140205,0.999999323,1015.3511322915205,1396640495,primary,28.74713119621132,,,,,,,
motorcycle_junction_crossing_004,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2294248140205,2297248138122,2296248138851,2.999997917,1049.713760313696,23210724,primary,,0.6167219130843938,,,,,,
motorcycle_junction_approach_005,junction_approach,motorcycle,motorcycle_5ab8604a14df,2304248133018,2308248130101,2304248133018,3.999997083,1176.0482351794742,23210724,primary,26.80869739614474,,,,,,,
motorcycle_junction_crossing_005,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2304248133018,2310248128591,2309248129372,5.999995573,1261.1793861285748,23210724,primary,,1.0391843889933987,,,,,,
motorcycle_junction_approach_006,junction_approach,motorcycle,motorcycle_5ab8604a14df,2312248127132,2312248127132,2312248127132,0.0,1313.7981781636681,23210724,primary,15.966164972907022,,,,,,,
motorcycle_junction_crossing_006,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2312248127132,2314248125622,2313248126351,1.99999849,1332.7445447741948,23210724,primary,,2.9802016376194027,,,,,,
motorcycle_straight_003,straight,motorcycle,motorcycle_5ab8604a14df,2294248140205,2333248118174,2314248125622,38.999977969,1353.153317903519,23210724,primary,,,0.0026428043605790015,0.0066647067197951665,,,,
motorcycle_junction_approach_007,junction_approach,motorcycle,motorcycle_5ab8604a14df,2332248117966,2332248117966,2332248117966,0.0,1695.500527874178,23210724,primary,25.661149409657202,,,,,,,
motorcycle_junction_crossing_007,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2332248117966,2335248118643,2333248118174,3.000000677,1713.546819026873,23210724,primary,,7.6148582569626395,,,,,,
motorcycle_junction_approach_008,junction_approach,motorcycle,motorcycle_5ab8604a14df,2338248119372,2338248119372,2338248119372,0.0,1807.4064170577403,23447748,primary,25.842952542413688,,,,,,,
motorcycle_junction_crossing_008,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2338248119372,2341248120049,2339248119580,3.000000677,1824.9552544723565,23447748,primary,,8.294115127797948,,,,,,
motorcycle_junction_approach_009,junction_approach,motorcycle,motorcycle_5ab8604a14df,2345248120934,2346248121195,2345248120934,1.000000261,1931.1371650999697,23447750,primary,26.348033566174596,,,,,,,
motorcycle_straight_004,straight,motorcycle,motorcycle_5ab8604a14df,2340248119841,2351248122289,2346248121195,11.000002448,1946.4642510744702,23447750,primary,,,0.0025866815632877003,0.006205832426650935,,,,
motorcycle_junction_crossing_009,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2345248120934,2349248121820,2347248121403,4.000000886,1965.181763172828,847429388,primary,,2.6974401579583764,,,,,,
motorcycle_curve_002,curve,motorcycle,motorcycle_5ab8604a14df,2352248122497,2356248123330,2352248122497,4.000000833,2012.732621467299,847429388,primary,,,0.03672393454096197,0.0368199419463933,,,,
motorcycle_pedestrian_crossing_001,pedestrian_crossing,motorcycle,motorcycle_5ab8604a14df,2350248122080,2354248122914,2352248122497,4.000000834,2012.732621467299,847429388,primary,,2.73757130314301,,,,,,
motorcycle_roundabout_entry_003,roundabout_entry,motorcycle,motorcycle_5ab8604a14df,2354248122914,2354248122914,2354248122914,0.0,2036.2636211913186,1283410827,primary,,,,,,,,
motorcycle_roundabout_traverse_003,roundabout_traverse,motorcycle,motorcycle_5ab8604a14df,2354248122914,2359248123955,2357248123539,5.000001041,2067.55998183544,1283410827,primary,,,,,56.2277992029035,,,
motorcycle_curve_003,curve,motorcycle,motorcycle_5ab8604a14df,2358248123747,2359248123955,2359248123955,1.000000208,2092.491420394222,1283410827,primary,,,0.03953032250444595,0.04250235969083554,,,,
motorcycle_roundabout_exit_003,roundabout_exit,motorcycle,motorcycle_5ab8604a14df,2359248123955,2359248123955,2359248123955,0.0,2092.491420394222,1283410827,primary,,,,,,,,
motorcycle_junction_approach_010,junction_approach,motorcycle,motorcycle_5ab8604a14df,2362248124476,2363248124684,2362248124476,1.000000208,2127.5187156854668,847429385,primary,26.548670511944746,,,,,,,
motorcycle_junction_crossing_010,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2362248124476,2365248125049,2364248124841,3.000000573,2163.134846131544,847429389,primary,,4.144733904012955,,,,,,
motorcycle_straight_005,straight,motorcycle,motorcycle_5ab8604a14df,2364248124841,2394248129945,2379248127549,30.000005104,2407.80381366278,847429389,primary,,,0.0014266103962709005,0.004427517167868819,,,,
motorcycle_junction_approach_011,junction_approach,motorcycle,motorcycle_5ab8604a14df,2394248129945,2396248130205,2394248129945,2.00000026,2777.500750406527,847429389,primary,28.844179438805796,,,,,,,
motorcycle_junction_crossing_011,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2394248129945,2399248130674,2397248130362,5.000000729,2878.6208619458753,847429400,primary,,0.0,,,,,,
motorcycle_straight_006,straight,motorcycle,motorcycle_5ab8604a14df,2399248130674,2419248133695,2409248132184,20.000003021,3252.32137205717,847429404,primary,,,0.002182498152248551,0.004177801828212102,,,,
motorcycle_junction_approach_012,junction_approach,motorcycle,motorcycle_5ab8604a14df,2419248133695,2419248133695,2419248133695,0.0,3546.4622469656088,847429404,primary,24.28956591137873,,,,,,,
motorcycle_junction_crossing_012,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2419248133695,2422248134059,2420248133799,3.000000364,3576.8166491713587,64922146,primary,,1.0659512644622016,,,,,,
