bin_key,bin_size_m,domain_a,domain_b,osm_way_id,bin_index,paired,rejection_reason,centroid_distance_m,heading_difference_deg,direction_a,direction_b,n_samples_a,n_samples_b,match_quality_a,match_quality_b,pair_quality,first_timestamp_ns_a,first_timestamp_ns_b,last_timestamp_ns_a,last_timestamp_ns_b,road_lanes,road_maxspeed_kph,curvature_1_per_m,distance_to_junction_m,distance_to_roundabout_m,distance_to_traffic_signals_m,distance_to_crossing_m,distance_to_stop_m,distance_to_give_way_m,road_class,road_oneway,road_surface,road_is_roundabout,road_bridge,road_tunnel,road_is_service,against_oneway
w717185016_b1_A,20.0,car,motorcycle,717185016,1,False,only 1 samples in the sparser domain,8.303933612762163,0.0,A,A,2,1,0.6124331737557204,0.9813585113531564,0.7752525444654811,1348118210816,3062248145101,1349118211180,3062248145101,2.0,,,24.801456213393653,86.59760084615306,303.95750675727754,29.30556878185504,372.8347879039394,525.6836922426685,unclassified,,asphalt,False,False,False,False,False
w717185016_b2_A,20.0,car,motorcycle,717185016,2,False,only 1 samples in the sparser domain,2.0978676936869096,0.0,A,A,1,2,0.6301351166139877,0.9730466058836618,0.7830394858941317,1350118211545,3063248145205,1350118211545,3064248145310,2.0,,,9.34108760504919,64.59354416098871,314.9787638753262,49.903364444982394,352.16993690289235,516.2964196686364,unclassified,,asphalt,False,False,False,False,False
w717185017_b0_A,20.0,car,motorcycle,717185017,0,False,only 1 samples in the sparser domain,4.266794573893184,0.0,A,A,2,1,0.45548233107497327,0.9897809500492034,0.6714370665833194,1338118207430,3056248144632,1339118207795,3056248144632,,,3.881993478588824e-06,15.559032550348276,172.1437382662036,274.1643956155748,30.145730967186196,470.6149698869811,576.9406772356105,unclassified,,asphalt,False,False,False,False,False
w717185017_b1_A,20.0,car,motorcycle,717185017,1,False,only 1 samples in the sparser domain,3.223197231637187,0.0,A,A,1,1,0.4905633321933728,0.9890535208021333,0.69655824658264,1340118208108,3057248144684,1340118208108,3057248144684,,,3.881993478588824e-06,32.13088253995185,173.60869392106736,276.3973559190442,13.573880977582618,454.87252104857185,567.9113727702405,unclassified,,asphalt,False,False,False,False,False
w717185017_b2_A,20.0,car,motorcycle,717185017,2,False,only 1 samples in the sparser domain,3.1512211405685204,0.00526088396519242,A,A,2,1,0.5108618238165825,0.9920294378551812,0.7118918231743057,1341118208420,3058248144789,1342118208785,3058248144789,,,3.881993478588824e-06,45.14191832392217,156.29608354745324,279.76783048254896,3.7642412677530954,438.4673584046423,558.83395985131,unclassified,,asphalt,False,False,False,False,False
w717185017_b3_A,20.0,car,motorcycle,717185017,3,False,only 1 samples in the sparser domain,3.254266588670277,0.0,A,A,1,1,0.5363181993742522,0.991352625620851,0.7291642168386433,1343118209097,3059248144841,1343118209097,3059248144841,,,3.881993478588824e-06,27.360723393107033,138.54784473647078,284.28566712196397,21.545436198568233,421.71963099713264,549.9346313048054,unclassified,,asphalt,False,False,False,False,False
w717185017_b4_A,20.0,car,motorcycle,717185017,4,False,only 1 samples in the sparser domain,3.1807588643380984,0.0,A,A,1,1,0.5601124437709072,0.9839820878080461,0.7423884507648029,1345118209774,3060248144945,1345118209774,3060248144945,,,3.881993478588824e-06,9.431787928901935,120.66196496810093,289.87593908516163,17.040371776921614,404.9219880596467,541.4047117359326,unclassified,,asphalt,False,False,False,False,False
w718496900_b0_A,20.0,car,motorcycle,718496900,0,False,only 1 samples in the sparser domain,1.7188933427114703,0.08497982281397753,A,A,1,2,0.7135902594630246,0.5024073076957395,0.598759518550413,1357118214045,3074248146247,1357118214045,3075248146351,,,0.10921484734581514,15.647854417344567,0.48349337830984607,340.1419705795915,10.644806122908983,300.8230682498829,510.4231212017381,unclassified,True,asphalt,True,False,False,False,False
w72561441_b0_B,20.0,car,motorcycle,72561441,0,False,only 1 samples in the sparser domain,2.0617377124152694,1.8777333793662478,B,B,1,2,0.7734388391646028,0.982818367972029,0.8718657566586359,1205118151024,2950248137132,1205118151024,2951248137237,2.0,50.0,0.000737950253281285,4.385443966668998,149.58291491960614,1036.239160750898,35.58454885109779,1488.9106651500354,1440.3335218484344,secondary,,asphalt,False,False,False,False,False
w72561441_b10_B,20.0,car,motorcycle,72561441,10,False,only 1 samples in the sparser domain,0.708547942443151,0.0,B,B,1,1,0.6467360947042808,0.990928494682024,0.8005430811529408,1192118145035,2939248136091,1192118145035,2939248136091,2.0,50.0,0.003541530528793976,104.47958076480228,339.9558855954292,1228.9022910240005,105.17845547900114,1675.8164711403354,1611.2040972922348,secondary,,asphalt,False,False,False,False,False
w72561441_b11_B,20.0,car,motorcycle,72561441,11,False,only 1 samples in the sparser domain,5.6805514412532805,0.0,B,B,2,1,0.6088490487326677,0.966080288267014,0.7669400657879029,1190118144149,2938248135987,1191118144566,2938248135987,2.0,50.0,0.007035159030745913,86.92839516260275,357.62207781354545,1246.1592197862515,87.68021297710018,1693.4126369688124,1628.0451652695924,secondary,,asphalt,False,False,False,False,False
w72561441_b12_B,20.0,car,motorcycle,72561441,12,False,only 1 samples in the sparser domain,2.554359981862067,1.4273378707787003,B,B,1,2,0.5935674971572699,0.9905732249218322,0.7667933684297598,1189118143681,2936248135830,1189118143681,2937248135882,2.0,50.0,0.0010538794361852938,60.756312246501906,383.5830836451968,1271.0275894993465,61.54368328828396,1719.5938011778267,1653.709560152714,secondary,,asphalt,False,False,False,False,False
w72561441_b13_B,20.0,car,motorcycle,72561441,13,False,only 1 samples in the sparser domain,7.300366678911434,0.0,B,B,1,1,0.5948926252922031,0.9946204094383934,0.7692154097130477,1188118143264,2935248135726,1188118143264,2935248135726,2.0,50.0,0.0010538794361852938,34.838922225494166,409.188850130271,1295.412103223441,35.65584634190334,1745.4853208120899,1679.2814241039166,secondary,,asphalt,False,False,False,False,False
w72561441_b14_B,20.0,car,motorcycle,72561441,14,False,only 1 samples in the sparser domain,7.954949552291444,0.0,B,B,1,1,0.5914445286816495,0.9952398323140069,0.7672217108164769,1187118142795,2934248135674,1187118142795,2934248135674,2.0,50.0,0.00011943142783734525,17.81907813681279,426.021136798434,1311.4483684680786,18.698280410116134,1762.4871095048788,1696.0857647638984,secondary,,asphalt,False,False,False,False,False
w72561441_b15_B,20.0,car,motorcycle,72561441,15,False,only 1 samples in the sparser domain,0.03538673847259508,0.24935500612357941,B,B,2,1,0.5549823681459816,0.9959732691951734,0.7434699748799762,1185118141910,2933248135570,1186118142379,2933248135570,2.0,50.0,0.00011943142783734525,1.176896952576589,442.49379725886143,1327.1524853517801,2.928130785943024,1779.1119697975482,1712.5213402570382,secondary,,asphalt,False,False,False,False,False
w72561441_b16_B,20.0,car,motorcycle,72561441,16,False,only 1 samples in the sparser domain,7.013718219641284,0.0,B,B,1,1,0.5542225689135923,0.9867200696823626,0.7395015428097211,1184118141493,2932248135518,1184118141493,2932248135518,2.0,50.0,0.00011943142783734525,15.26015554742092,458.7927717624206,1342.7278754302906,14.69822908526472,1795.5376322544566,1728.7370788029784,secondary,,asphalt,False,False,False,False,False
w72561441_b17_B,20.0,car,motorcycle,72561441,17,False,only 1 samples in the sparser domain,1.5288486981130796,0.0,B,B,1,2,0.545760288459045,0.9867289404325703,0.7338374964264005,1183118141077,2930248135362,1183118141077,2931248135414,2.0,50.0,0.0007614130956974749,39.60453830610355,482.9527358058773,1365.8403706615093,38.9409756738266,1819.866156135085,1752.7593738195255,secondary,,asphalt,False,False,False,False,False
w72561441_b18_B,20.0,car,motorcycle,72561441,18,False,only 1 samples in the sparser domain,11.77427112702153,0.0,B,B,1,1,0.5810852331847165,0.9904226556319967,0.7586303314522462,1182118140608,2929248135257,1182118140608,2929248135257,2.0,50.0,0.0014033947635576044,64.15380968390363,507.3319683707046,1389.1852710917897,63.4629963047085,1844.3998117581953,1776.991735706086,secondary,,asphalt,False,False,False,False,False
w72561441_b1_B,20.0,car,motorcycle,72561441,1,False,only 1 samples in the sparser domain,4.144609168544881,0.0,B,B,2,1,0.7795914109903511,0.9883015750355686,0.8777650137513828,1203118150087,2949248137028,1204118150556,2949248137028,2.0,50.0,0.000737950253281285,19.508792298130903,171.95690432617127,1059.0928412030817,58.52769813030073,1511.0745241133834,1460.4240673210631,secondary,,asphalt,False,False,False,False,False
w72561441_b20_B,20.0,car,motorcycle,72561441,20,False,only 1 samples in the sparser domain,5.293175076871236,4.3096603402497635,B,B,2,1,0.7081544815545315,0.9947022691700806,0.8392871199567252,1178118138941,2927248135101,1179118139358,2927248135101,2.0,50.0,0.004580198383238056,95.34307312887434,538.4626328293873,1419.2917643617104,94.67029855138686,1875.6069745559635,1807.5777804733775,secondary,,asphalt,False,False,False,False,False
w72561441_b21_B,20.0,car,motorcycle,72561441,21,False,only 1 samples in the sparser domain,5.481242929579901,3.3136046002255313,B,B,1,2,0.7213825409321278,0.977798303523903,0.8398610746517527,1177118138524,2925248134945,1177118138524,2926248134997,2.0,50.0,0.005785942745655014,96.31958499827456,560.5485064901732,1441.5407130361812,96.49496240482705,1897.398805430888,1828.0929226885075,secondary,,asphalt,False,False,False,False,False
w72561441_b22_B,20.0,car,motorcycle,72561441,22,False,only 1 samples in the sparser domain,0.041394194274986196,0.0,B,B,1,1,0.7346669804681469,0.9604463854740548,0.8400049082700468,1176118138056,2924248134841,1176118138056,2924248134841,2.0,50.0,0.003198543063309527,75.29846492482166,580.9158477263585,1462.8040362328616,75.09262834182994,1917.1485428565122,1845.9189817754586,secondary,,asphalt,False,False,False,False,False
w72561441_b23_B,20.0,car,motorcycle,72561441,23,False,only 1 samples in the sparser domain,6.25755431626692,0.0,B,B,1,2,0.7847763046017245,0.9729493831182046,0.8738121202226667,1175118137639,2922248134632,1175118137639,2923248134736,2.0,50.0,0.003198543063309527,52.86228969026773,601.4845381261932,1484.6060419824607,52.66021637184648,1936.8214433960757,1863.256466833415,secondary,,asphalt,False,False,False,False,False
w72561441_b24_B,20.0,car,motorcycle,72561441,24,False,only 1 samples in the sparser domain,6.406059266022901,0.0,B,B,2,1,0.9004838943018343,0.9759124224463746,0.9374398213549754,1173118136754,2921248134528,1174118137222,2921248134528,2.0,50.0,0.0003241289120236372,29.48036005900178,623.0418439095843,1507.3445831381448,29.287369147492793,1957.379525856428,1881.426143758832,secondary,,asphalt,False,False,False,False,False
w72561441_b25_B,20.0,car,motorcycle,72561441,25,False,only 1 samples in the sparser domain,0.10547345590711323,0.0,B,B,1,1,0.9076651704450264,0.9681080115416046,0.9373995537150133,1172118136337,2920248134424,1172118136337,2920248134424,2.0,50.0,0.0003241289120236372,12.876570717936714,638.4332279563356,1523.5041094037592,12.711112480573549,1972.0188090560553,1894.4026738717191,secondary,,asphalt,False,False,False,False,False
w72561441_b26_B,20.0,car,motorcycle,72561441,26,False,only 1 samples in the sparser domain,2.2519278085802705,0.0,B,B,1,1,0.90416759393807,0.9661180168243667,0.934629660738577,1171118135920,2919248134372,1171118135920,2919248134372,2.0,50.0,0.0003241289120236372,4.554738890290726,647.2618195169504,1540.4401061976798,4.932521549697603,1987.3434795866622,1907.9850406086646,secondary,,asphalt,False,False,False,False,False
w72561441_b27_B,20.0,car,motorcycle,72561441,27,False,only 1 samples in the sparser domain,0.8780766614014611,0.0,B,B,2,1,0.8574451305571362,0.9705480364344186,0.91224540986101,1169118135035,2918248134268,1170118135452,2918248134268,2.0,50.0,0.0003241289120236372,21.252660645560088,628.5592510386567,1558.5062469649934,23.536218319564334,2003.5910549165144,1922.3217242990795,secondary,,asphalt,False,False,False,False,False
w72561441_b28_B,20.0,car,motorcycle,72561441,28,False,only 1 samples in the sparser domain,2.1521658997740647,0.0,B,B,1,1,0.7727366671006188,0.976361531694683,0.8686025304401344,1168118134618,2917248134164,1168118134618,2917248134164,2.0,50.0,0.0003241289120236372,30.529470274973505,608.7268160960067,1577.6800105243806,43.35685668614023,2020.866569255751,1937.6058506721067,secondary,,asphalt,False,False,False,False,False
w72561441_b29_B,20.0,car,motorcycle,72561441,29,False,only 1 samples in the sparser domain,4.720585597191602,0.0,B,B,1,1,0.6909830680228422,0.9782046385468837,0.822145268366425,1167118134150,2916248134059,1167118134150,2916248134059,2.0,50.0,0.0003241289120236372,45.7669107778931,587.8102512835669,1597.9193201969915,64.26887485778423,2039.136857669306,1953.8140523741954,secondary,,asphalt,False,False,False,False,False
