recording_id,domain,grid_index,grid_timestamp_ns,selected_source_frame_index,selected_timestamp_ns,temporal_error_ms,interpolated,synthetic,reused_real_frame
motorcycle_5ab8604a14df,motorcycle,118,2186626479905,177,2186627228644,0.748739,False,False,False
motorcycle_5ab8604a14df,motorcycle,119,2186726479905,178,2186693890207,32.589698,False,False,False
motorcycle_5ab8604a14df,motorcycle,120,2186826479905,180,2186827213332,0.733427,False,False,False
motorcycle_5ab8604a14df,motorcycle,121,2186926479905,181,2186893874946,32.604959,False,False,False
motorcycle_5ab8604a14df,motorcycle,122,2187026479905,183,2187027198071,0.718166,False,False,False
motorcycle_5ab8604a14df,motorcycle,123,2187126479905,184,2187093859634,32.620271,False,False,False
motorcycle_5ab8604a14df,motorcycle,124,2187226479905,186,2187227182759,0.702854,False,False,False
motorcycle_5ab8604a14df,motorcycle,125,2187326479905,187,2187293844321,32.635584,False,False,False
motorcycle_5ab8604a14df,motorcycle,126,2187426479905,189,2187427167446,0.687541,False,False,False
motorcycle_5ab8604a14df,motorcycle,127,2187526479905,190,2187493829009,32.650896,False,False,False
motorcycle_5ab8604a14df,motorcycle,128,2187626479905,192,2187627152134,0.672229,False,False,False
motorcycle_5ab8604a14df,motorcycle,129,2187726479905,193,2187693826354,32.653551,False,False,False
motorcycle_5ab8604a14df,motorcycle,130,2187826479905,195,2187827149135,0.66923,False,False,False
motorcycle_5ab8604a14df,motorcycle,131,2187926479905,196,2187893810644,32.669261,False,False,False
motorcycle_5ab8604a14df,motorcycle,132,2188026479905,198,2188027133769,0.653864,False,False,False
motorcycle_5ab8604a14df,motorcycle,133,2188126479905,199,2188093795332,32.684573,False,False,False
motorcycle_5ab8604a14df,motorcycle,134,2188226479905,201,2188227118457,0.638552,False,False,False
motorcycle_5ab8604a14df,motorcycle,135,2188326479905,202,2188293780019,32.699886,False,False,False
motorcycle_5ab8604a14df,motorcycle,136,2188426479905,204,2188427103144,0.623239,False,False,False
motorcycle_5ab8604a14df,motorcycle,137,2188526479905,205,2188493777363,32.702542,False,False,False
motorcycle_5ab8604a14df,motorcycle,138,2188626479905,207,2188627100644,0.620739,False,False,False
motorcycle_5ab8604a14df,motorcycle,139,2188726479905,208,2188693762206,32.717699,False,False,False
motorcycle_5ab8604a14df,motorcycle,140,2188826479905,210,2188827085333,0.605428,False,False,False
motorcycle_5ab8604a14df,motorcycle,141,2188926479905,211,2188893746894,32.733011,False,False,False
motorcycle_5ab8604a14df,motorcycle,142,2189026479905,213,2189027070019,0.590114,False,False,False
motorcycle_5ab8604a14df,motorcycle,143,2189126479905,214,2189093731583,32.748322,False,False,False
motorcycle_5ab8604a14df,motorcycle,144,2189226479905,216,2189227054655,0.57475,False,False,False
motorcycle_5ab8604a14df,motorcycle,145,2189326479905,217,2189293716217,32.763688,False,False,False
motorcycle_5ab8604a14df,motorcycle,146,2189426479905,219,2189427039342,0.559437,False,False,False
motorcycle_5ab8604a14df,motorcycle,147,2189526479905,220,2189493700905,32.779,False,False,False
motorcycle_5ab8604a14df,motorcycle,148,2189626479905,222,2189627036634,0.556729,False,False,False
motorcycle_5ab8604a14df,motorcycle,149,2189726479905,223,2189693704352,32.775553,False,False,False
motorcycle_5ab8604a14df,motorcycle,150,2189826479905,225,2189827021425,0.54152,False,False,False
motorcycle_5ab8604a14df,motorcycle,151,2189926479905,226,2189893682988,32.796917,False,False,False
motorcycle_5ab8604a14df,motorcycle,152,2190026479905,228,2190027006113,0.526208,False,False,False
motorcycle_5ab8604a14df,motorcycle,153,2190126479905,229,2190093667676,32.812229,False,False,False
motorcycle_5ab8604a14df,motorcycle,154,2190226479905,231,2190226990749,0.510844,False,False,False
motorcycle_5ab8604a14df,motorcycle,155,2190326479905,232,2190293652311,32.827594,False,False,False
motorcycle_5ab8604a14df,motorcycle,156,2190426479905,234,2190426975436,0.495531,False,False,False
motorcycle_5ab8604a14df,motorcycle,157,2190526479905,235,2190493624343,32.855562,False,False,False
motorcycle_5ab8604a14df,motorcycle,158,2190626479905,237,2190626934655,0.45475,False,False,False
motorcycle_5ab8604a14df,motorcycle,159,2190726479905,238,2190693602717,32.877188,False,False,False
motorcycle_5ab8604a14df,motorcycle,160,2190826479905,240,2190826925790,0.445885,False,False,False
motorcycle_5ab8604a14df,motorcycle,161,2190926479905,241,2190893587353,32.892552,False,False,False
motorcycle_5ab8604a14df,motorcycle,162,2191026479905,243,2191026910426,0.430521,False,False,False
motorcycle_5ab8604a14df,motorcycle,163,2191126479905,244,2191093571988,32.907917,False,False,False
motorcycle_5ab8604a14df,motorcycle,164,2191226479905,246,2191226895060,0.415155,False,False,False
motorcycle_5ab8604a14df,motorcycle,165,2191326479905,247,2191293543967,32.935938,False,False,False
motorcycle_5ab8604a14df,motorcycle,166,2191426479905,249,2191426873093,0.393188,False,False,False
motorcycle_5ab8604a14df,motorcycle,167,2191526479905,250,2191493534654,32.945251,False,False,False
motorcycle_5ab8604a14df,motorcycle,168,2191626479905,252,2191626857727,0.377822,False,False,False
motorcycle_5ab8604a14df,motorcycle,169,2191726479905,253,2191693519290,32.960615,False,False,False
motorcycle_5ab8604a14df,motorcycle,170,2191826479905,255,2191826842363,0.362458,False,False,False
motorcycle_5ab8604a14df,motorcycle,171,2191926479905,256,2191893503926,32.975979,False,False,False
motorcycle_5ab8604a14df,motorcycle,172,2192026479905,258,2192026808187,0.328282,False,False,False
motorcycle_5ab8604a14df,motorcycle,173,2192126479905,259,2192093463592,33.016313,False,False,False
motorcycle_5ab8604a14df,motorcycle,174,2192226479905,261,2192226792717,0.312812,False,False,False
motorcycle_5ab8604a14df,motorcycle,175,2192326479905,262,2192293454229,33.025676,False,False,False
motorcycle_5ab8604a14df,motorcycle,176,2192426479905,264,2192426796614,0.316709,False,False,False
motorcycle_5ab8604a14df,motorcycle,177,2192526479905,265,2192493451675,33.02823,False,False,False
motorcycle_5ab8604a14df,motorcycle,178,2192626479905,267,2192626774748,0.294843,False,False,False
motorcycle_5ab8604a14df,motorcycle,179,2192726479905,268,2192693436259,33.043646,False,False,False
motorcycle_5ab8604a14df,motorcycle,180,2192826479905,270,2192826778145,0.29824,False,False,False
motorcycle_5ab8604a14df,motorcycle,181,2192926479905,271,2192893433706,33.046199,False,False,False
motorcycle_5ab8604a14df,motorcycle,182,2193026479905,273,2193026756779,0.276874,False,False,False
motorcycle_5ab8604a14df,motorcycle,183,2193126479905,274,2193093418342,33.061563,False,False,False
motorcycle_5ab8604a14df,motorcycle,184,2193226479905,276,2193226741415,0.26151,False,False,False
motorcycle_5ab8604a14df,motorcycle,185,2193326479905,277,2193293402927,33.076978,False,False,False
motorcycle_5ab8604a14df,motorcycle,186,2193426479905,279,2193426726051,0.246146,False,False,False
motorcycle_5ab8604a14df,motorcycle,187,2193526479905,280,2193493387561,33.092344,False,False,False
motorcycle_5ab8604a14df,motorcycle,188,2193626479905,282,2193626710634,0.230729,False,False,False
motorcycle_5ab8604a14df,motorcycle,189,2193726479905,283,2193693372197,33.107708,False,False,False
motorcycle_5ab8604a14df,motorcycle,190,2193826479905,285,2193826695270,0.215365,False,False,False
motorcycle_5ab8604a14df,motorcycle,191,2193926479905,286,2193893356779,33.123126,False,False,False
motorcycle_5ab8604a14df,motorcycle,192,2194026479905,288,2194026679904,0.199999,False,False,False
motorcycle_5ab8604a14df,motorcycle,193,2194126479905,289,2194093341416,33.138489,False,False,False
motorcycle_5ab8604a14df,motorcycle,194,2194226479905,291,2194226664488,0.184583,False,False,False
motorcycle_5ab8604a14df,motorcycle,195,2194326479905,292,2194293326050,33.153855,False,False,False
motorcycle_5ab8604a14df,motorcycle,196,2194426479905,294,2194426649123,0.169218,False,False,False
motorcycle_5ab8604a14df,motorcycle,197,2194526479905,295,2194493323290,33.156615,False,False,False
motorcycle_5ab8604a14df,motorcycle,198,2194626479905,297,2194626646019,0.166114,False,False,False
motorcycle_5ab8604a14df,motorcycle,199,2194726479905,298,2194693320187,33.159718,False,False,False
motorcycle_5ab8604a14df,motorcycle,200,2194826479905,300,2194826643416,0.163511,False,False,False
motorcycle_5ab8604a14df,motorcycle,201,2194926479905,301,2194893304925,33.17498,False,False,False
motorcycle_5ab8604a14df,motorcycle,202,2195026479905,303,2195026627998,0.148093,False,False,False
motorcycle_5ab8604a14df,motorcycle,203,2195126479905,304,2195093289561,33.190344,False,False,False
motorcycle_5ab8604a14df,motorcycle,204,2195226479905,306,2195226612634,0.132729,False,False,False
motorcycle_5ab8604a14df,motorcycle,205,2195326479905,307,2195293274144,33.205761,False,False,False
motorcycle_5ab8604a14df,motorcycle,206,2195426479905,309,2195426603373,0.123468,False,False,False
motorcycle_5ab8604a14df,motorcycle,207,2195526479905,310,2195493264884,33.215021,False,False,False
motorcycle_5ab8604a14df,motorcycle,208,2195626479905,312,2195626587957,0.108052,False,False,False
motorcycle_5ab8604a14df,motorcycle,209,2195726479905,313,2195693262176,33.217729,False,False,False
motorcycle_5ab8604a14df,motorcycle,210,2195826479905,315,2195826579249,0.099344,False,False,False
motorcycle_5ab8604a14df,motorcycle,211,2195926479905,316,2195893240759,33.239146,False,False,False
motorcycle_5ab8604a14df,motorcycle,212,2196026479905,318,2196026563831,0.083926,False,False,False
motorcycle_5ab8604a14df,motorcycle,213,2196126479905,319,2196093225343,33.254562,False,False,False
motorcycle_5ab8604a14df,motorcycle,214,2196226479905,321,2196226554572,0.074667,False,False,False
motorcycle_5ab8604a14df,motorcycle,215,2196326479905,322,2196293216081,33.263824,False,False,False
motorcycle_5ab8604a14df,motorcycle,216,2196426479905,324,2196426539154,0.059249,False,False,False
motorcycle_5ab8604a14df,motorcycle,217,2196526479905,325,2196493200666,33.279239,False,False,False
motorcycle_5ab8604a14df,motorcycle,218,2196626479905,327,2196626523738,0.043833,False,False,False
motorcycle_5ab8604a14df,motorcycle,219,2196726479905,328,2196693185248,33.294657,False,False,False
motorcycle_5ab8604a14df,motorcycle,220,2196826479905,330,2196826508320,0.028415,False,False,False
motorcycle_5ab8604a14df,motorcycle,221,2196926479905,331,2196893169884,33.310021,False,False,False
motorcycle_5ab8604a14df,motorcycle,222,2197026479905,333,2197026474144,0.005761,False,False,False
motorcycle_5ab8604a14df,motorcycle,223,2197126479905,335,2197159797061,33.317156,False,False,False
motorcycle_5ab8604a14df,motorcycle,224,2197226479905,336,2197226458570,0.021335,False,False,False
motorcycle_5ab8604a14df,motorcycle,225,2197326479905,338,2197359781645,33.30174,False,False,False
motorcycle_5ab8604a14df,motorcycle,226,2197426479905,339,2197426443155,0.03675,False,False,False
motorcycle_5ab8604a14df,motorcycle,227,2197526479905,341,2197559772332,33.292427,False,False,False
motorcycle_5ab8604a14df,motorcycle,228,2197626479905,342,2197626433895,0.04601,False,False,False
motorcycle_5ab8604a14df,motorcycle,229,2197726479905,344,2197759756916,33.277011,False,False,False
motorcycle_5ab8604a14df,motorcycle,230,2197826479905,345,2197826405821,0.074084,False,False,False
motorcycle_5ab8604a14df,motorcycle,231,2197926479905,347,2197959735394,33.255489,False,False,False
motorcycle_5ab8604a14df,motorcycle,232,2198026479905,348,2198026396905,0.083,False,False,False
motorcycle_5ab8604a14df,motorcycle,233,2198126479905,350,2198159719926,33.240021,False,False,False
motorcycle_5ab8604a14df,motorcycle,234,2198226479905,351,2198226356175,0.12373,False,False,False
motorcycle_5ab8604a14df,motorcycle,235,2198326479905,353,2198359685592,33.205687,False,False,False
motorcycle_5ab8604a14df,motorcycle,236,2198426479905,354,2198426347103,0.132802,False,False,False
motorcycle_5ab8604a14df,motorcycle,237,2198526479905,356,2198559670176,33.190271,False,False,False
motorcycle_5ab8604a14df,motorcycle,238,2198626479905,357,2198626331685,0.14822,False,False,False
motorcycle_5ab8604a14df,motorcycle,239,2198726479905,359,2198759654758,33.174853,False,False,False
motorcycle_5ab8604a14df,motorcycle,240,2198826479905,360,2198826316269,0.163636,False,False,False
motorcycle_5ab8604a14df,motorcycle,241,2198926479905,362,2198959633186,33.153281,False,False,False
motorcycle_5ab8604a14df,motorcycle,242,2199026479905,363,2199026282039,0.197866,False,False,False
motorcycle_5ab8604a14df,motorcycle,243,2199126479905,365,2199159611114,33.131209,False,False,False
motorcycle_5ab8604a14df,motorcycle,244,2199226479905,366,2199226272623,0.207282,False,False,False
motorcycle_5ab8604a14df,motorcycle,245,2199326479905,368,2199359595644,33.115739,False,False,False
motorcycle_5ab8604a14df,motorcycle,246,2199426479905,369,2199426257156,0.222749,False,False,False
motorcycle_5ab8604a14df,motorcycle,247,2199526479905,371,2199559580228,33.100323,False,False,False
motorcycle_5ab8604a14df,motorcycle,248,2199626479905,372,2199626241738,0.238167,False,False,False
