recording_id,source_frame_index,timestamp_ns,side,agreement_case,agreement_label,state_candidate,hand_tracking_valid,landmarks_in_frame,landmarks_total,tracking_dt_ms,proxy_available,proxy_mask_present,proxy_mask_present_before_plausibility,proxy_implausible_detections,proxy_score,proxy_area_fraction,proxy_raw_area_fraction,proxy_tracking_overlap,local_blur_variance,reference_blur_variance,proxy_persisted_frames
motorcycle_5ab8604a14df,14289,3127419882227,left,4,hand not visible but a false mask is present,uncertain,False,0,0,-25.240227,True,True,True,0,0.3065270483493805,0.013571651654488957,0.009972468925841941,,,,2
motorcycle_5ab8604a14df,14289,3127419882227,right,4,hand not visible but a false mask is present,uncertain,False,0,0,-25.240227,True,True,True,0,0.3065270483493805,0.013571651654488957,0.009972468925841941,,,,2
motorcycle_5ab8604a14df,14290,3127486524874,left,4,hand not visible but a false mask is present,uncertain,False,0,0,8.117126,True,True,True,0,0.2845759987831116,0.014904244876963131,0.010999635193583606,,,,3
motorcycle_5ab8604a14df,14290,3127486524874,right,4,hand not visible but a false mask is present,uncertain,False,0,0,8.117126,True,True,True,0,0.2845759987831116,0.014904244876963131,0.010999635193583606,,,,3
motorcycle_5ab8604a14df,14291,3127553186123,left,4,hand not visible but a false mask is present,uncertain,False,0,0,41.454877,True,True,True,0,0.27747300267219543,0.010360895901570504,0.010360895901570504,,,,4
motorcycle_5ab8604a14df,14291,3127553186123,right,4,hand not visible but a false mask is present,uncertain,False,0,0,41.454877,True,True,True,0,0.27747300267219543,0.010360895901570504,0.010360895901570504,,,,4
motorcycle_5ab8604a14df,14292,3127619828770,left,4,hand not visible but a false mask is present,uncertain,False,0,0,-25.18777,True,True,True,0,0.3584653437137604,0.02093798553371966,0.010434054022843706,,,,5
motorcycle_5ab8604a14df,14292,3127619828770,right,4,hand not visible but a false mask is present,uncertain,False,0,0,-25.18777,True,True,True,0,0.3584653437137604,0.02093798553371966,0.010434054022843706,,,,5
motorcycle_5ab8604a14df,14293,3127686490071,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.153929,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14293,3127686490071,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.153929,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14294,3127753132718,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.511282,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14294,3127753132718,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.511282,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14295,3127819794019,left,3,hand not visible and proxy absent,not_visible,False,0,0,-25.150019,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14295,3127819794019,right,3,hand not visible and proxy absent,not_visible,False,0,0,-25.150019,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14296,3127886461926,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.180074,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14296,3127886461926,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.180074,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14297,3127953123384,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.518616,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14297,3127953123384,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.518616,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14298,3128019784791,left,4,hand not visible but a false mask is present,uncertain,False,0,0,-25.142791,True,True,True,0,0.319121390581131,0.00890724731250525,0.006780740845721004,,,,1
motorcycle_5ab8604a14df,14298,3128019784791,right,4,hand not visible but a false mask is present,uncertain,False,0,0,-25.142791,True,True,True,0,0.319121390581131,0.00890724731250525,0.006780740845721004,,,,1
motorcycle_5ab8604a14df,14299,3128086420936,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.222064,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14299,3128086420936,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.222064,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14300,3128153082239,left,4,hand not visible but a false mask is present,uncertain,False,0,0,41.559761,True,True,True,0,0.29421496391296387,0.009483654572940287,0.007417839821113631,,,,1
motorcycle_5ab8604a14df,14300,3128153082239,right,4,hand not visible but a false mask is present,uncertain,False,0,0,41.559761,True,True,True,0,0.29421496391296387,0.009483654572940287,0.007417839821113631,,,,1
motorcycle_5ab8604a14df,14301,3128219750196,left,3,hand not visible and proxy absent,not_visible,False,0,0,-25.108196,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14301,3128219750196,right,3,hand not visible and proxy absent,not_visible,False,0,0,-25.108196,True,False,False,0,0.0,0.0,0.0,,,,0
